id,Date,Grain,Destination,Port,FGIS_Reg,MT,Pounds
433222,2/20/20,SORGHUM,MEXICO,INTERIOR,INTERIOR,72,158400
433223,2/20/20,WHEAT,MEXICO,INTERIOR,INTERIOR,1597,3520000
433224,2/20/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,490,1080000
433225,2/20/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,367,810000
433226,2/27/20,CORN,MEXICO,INTERIOR,INTERIOR,699,1540000
433227,2/27/20,CORN,MEXICO,INTERIOR,INTERIOR,9480,20900000
433228,2/27/20,CORN,MEXICO,MISSISSIPPI R.,EAST GULF,36298,80022670
433229,2/27/20,SOYBEANS,NEPAL,INTERIOR,INTERIOR,490,1080000
433230,2/27/20,SOYBEANS,NEPAL,INTERIOR,INTERIOR,465,1026000
433231,2/27/20,SOYBEANS,NEPAL,INTERIOR,INTERIOR,392,864000
433232,2/27/20,SOYBEANS,NEPAL,INTERIOR,INTERIOR,490,1080000
433233,2/27/20,SOYBEANS,NEPAL,INTERIOR,INTERIOR,220,486000
433234,2/27/20,SOYBEANS,THAILAND,S. ATLANTIC,EAST COAST,490,1080000
433235,2/27/20,SOYBEANS,THAILAND,S. ATLANTIC,EAST COAST,490,1080000
433236,2/27/20,CORN,MEXICO,MISSISSIPPI R.,EAST GULF,32004,70557560
433237,2/27/20,WHEAT,DOMINICN REP,MISSISSIPPI R.,EAST GULF,4327,9540250
433238,2/27/20,WHEAT,DOMINICN REP,MISSISSIPPI R.,EAST GULF,7977,17587170
433239,2/27/20,WHEAT,DOMINICN REP,MISSISSIPPI R.,EAST GULF,2678,5904880
433240,2/27/20,SOYBEANS,JAPAN,MISSISSIPPI R.,EAST GULF,18162,40039700
433241,2/27/20,CORN,JAPAN,MISSISSIPPI R.,EAST GULF,31729,69951060
433242,2/27/20,CORN,MEXICO,MISSISSIPPI R.,EAST GULF,25310,55799290
433243,2/27/20,SOYBEANS,NETHERLANDS,MISSISSIPPI R.,EAST GULF,56191,123880780
433244,2/27/20,WHEAT,MEXICO,MISSISSIPPI R.,EAST GULF,10597,23362760
433245,2/27/20,CORN,MEXICO,MISSISSIPPI R.,EAST GULF,13631,30051660
433246,2/27/20,SOYBEANS,PHILIPPINES,S. ATLANTIC,EAST COAST,294,648000
433247,2/27/20,SOYBEANS,PHILIPPINES,S. ATLANTIC,EAST COAST,294,648000
433248,2/27/20,CORN,ECUADOR,MISSISSIPPI R.,EAST GULF,17800,39241880
433249,2/27/20,CORN,MEXICO,INTERIOR,INTERIOR,9979,22000000
433250,2/27/20,CORN,MEXICO,INTERIOR,INTERIOR,9281,20460000
433251,2/27/20,SOYBEANS,CHINA T,S. ATLANTIC,EAST COAST,490,1080000
433252,2/27/20,SOYBEANS,CHINA T,S. ATLANTIC,EAST COAST,490,1080000
433253,2/27/20,WHEAT,MEXICO,MISSISSIPPI R.,EAST GULF,28644,63148580
433254,2/27/20,CORN,CHINA T,INTERIOR,INTERIOR,490,1080000
433255,2/27/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,490,1080000
